TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Gravenhage  0  208000  259000  260000  0  0  274862  277880  289000  297000
Hertogenbosch  0  69000  69000  66000  0  0  71438  74795  78000  79000
A_Coruña  97476  95867  0  97081  98125  99804  99324  97286  98234  99191
Aachen  117400  118200  119259  122381  122154  122514  123579  122776  127000  0
Aalborg  0  0  0  0  0  0  0  0  0  0
Aberdeen  0  0  0  124900  124200  121900  0  0  0  0
Acireale  0  0  0  0  0  8356  8035  8332  0  0
Adana  0  0  0  0  0  0  0  0  0  0
Alba_Iulia  0  0  0  0  0  0  0  0  0  0
Albacete  44131  44223  44130  44788  44315  45082  43621  43531  43512  43849
Alcoy  0  0  15412  15865  15410  15383  15491  14689  15292  15810
Alessandria  0  0  0  0  0  26541  26416  24686  0  0
Algeciras  29267  30451  30353  30113  30275  30443  30521  29891  32152  31666
Alicante  103281  104830  106081  109976  109655  108227  110112  105262  109590  114463
Alkmaar  0  50000  71000  71000  0  0  73731  75440  77000  78000
Almelo  0  33000  36000  36000  0  0  38174  36457  38000  39000
Almeria  52113  52342  51190  51081  51312  50715  51618  50658  52936  52862
Alphen_aan_den_Rijn  0  0  26000  28000  0  0  26897  28975  30000  31000
Altamura  0  0  0  0  0  10989  11056  10803  0  0
Amersfoort  0  48000  46000  48000  0  0  48578  48633  52000  53000
Amiens  78591  78382  78398  78719  78764  78567  78815  79532  0  0
Amsterdam  0  654000  712000  724000  0  0  754713  763761  787000  810000
Ancona  0  0  0  0  0  43987  44204  42541  0  0
Andria  0  0  0  0  0  11829  11842  11711  0  0
Angers  96682  97545  98009  98629  98993  99959  100792  102116  0  0
Ankara  0  0  0  0  0  0  0  0  0  0
Annecy  66734  68059  69085  69929  70567  71311  72442  73563  0  0
Annemasse-Geneva  99871  102075  104631  106309  107764  109339  110750  112562  0  0
Antalya  0  0  0  0  0  0  0  0  0  0
Antwerpen  0  0  217156  220583  225722  224778  228505  0  238122  0
Apeldoorn  0  53000  53000  53000  0  0  57426  60872  60000  62000
Arad  0  0  0  0  0  0  0  0  0  0
Arezzo  0  0  0  0  0  30665  32046  32202  0  0
Arnhem  0  99000  98000  100000  0  0  103811  102519  109000  115000
Arras  35554  35713  35744  35892  35992  36076  36175  36367  0  0
Arrecife  0  0  25829  26910  29048  28337  29381  28733  29915  30253
Aschaffenburg  89700  89900  89577  91127  90787  90723  91579  89846  69000  0
Assen  0  0  30000  30000  0  0  30874  31192  33000  33000
Asti  0  0  0  0  0  22383  22319  21882  0  0
Athina  0  0  0  0  0  0  0  0  0  0
Augsburg  156700  158900  158987  162768  163464  163899  167128  164999  153000  0
Austria  2071149  2097941  0  0  0  0  0  0  0  0
Aveiro  0  0  0  0  0  0  0  0  36293  0
Avellino  0  0  0  0  0  24134  26490  24910  0  0
Avignon  73758  74403  74746  75043  75367  75419  75765  75914  0  0
Aviles  0  0  27268  27082  25507  26998  26266  25738  25914  25384
Bacau  0  0  0  0  0  0  0  0  0  0
Badajoz  39867  38985  39054  39398  38985  40434  40552  40334  40377  40539
Baia_Mare  0  0  0  0  0  0  0  0  0  0
Balikesir  0  0  0  0  0  0  0  0  0  0
Bamberg  54500  55100  54960  55879  56099  56377  57144  55742  58000  0
Banska_Bystrica  0  0  0  0  0  0  0  0  0  0
Barcelona  1182763  1187416  1183041  1191223  1207812  1188963  1228095  1217160  1245781  1240424
Bari  0  0  0  0  0  114132  116096  116631  0  0
