TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Gravenhage  0  238000  295000  298000  0  0  310709  312840  319000  330000
Hertogenbosch  0  76000  79000  77000  0  0  82844  81565  88000  88000
A_Coruña  105321  103330  0  102913  102651  104531  103732  102180  102442  103209
Aachen  143200  144300  144151  148059  148255  148721  149682  146737  163000  0
Aalborg  0  0  0  0  0  0  0  0  0  0
Aberdeen  0  0  0  144700  143900  149100  0  0  0  0
Acireale  0  0  0  0  0  12177  11761  11936  0  0
Adana  0  0  0  0  0  0  0  0  0  0
Alba_Iulia  0  0  0  0  0  0  0  0  0  0
Albacete  52226  52004  51651  51334  51464  52497  51404  50373  51082  52133
Alcoy  0  0  18671  18916  18712  18585  18724  18357  18368  18490
Alessandria  0  0  0  0  0  33803  33608  32083  0  0
Algeciras  36798  37851  37948  38305  37700  37461  37543  37927  38148  37856
Alicante/Alacant  122286  121437  121526  124003  124415  122574  124433  122520  123396  125419
Alkmaar  0  57000  81000  82000  0  0  81376  81692  85000  88000
Almelo  0  42000  42000  42000  0  0  44178  42373  45000  45000
Almeria  59831  59589  58591  58773  59656  59133  58240  58522  59379  58585
Alphen_aan_den_Rijn  0  0  32000  33000  0  0  31186  31770  33000  34000
Altamura  0  0  0  0  0  17565  17717  17473  0  0
Amersfoort  0  52000  53000  51000  0  0  54464  56517  56000  58000
Amiens  84941  84420  84073  83926  83535  83425  83587  83836  0  0
Amsterdam  0  745000  794000  804000  0  0  836256  839035  852000  884000
Ancona  0  0  0  0  0  54753  54644  53680  0  0
Andria  0  0  0  0  0  21686  21709  21672  0  0
Angers  100141  101098  101233  100842  101048  101631  102402  103414  0  0
Ankara  0  0  0  0  0  0  0  0  0  0
Annecy  72108  73526  74127  74475  74914  75487  76697  77834  0  0
Annemasse-Geneva  110064  112471  114757  116426  118040  120019  121678  123012  0  0
Antalya  0  0  0  0  0  0  0  0  0  0
Antwerpen  0  0  258793  259078  261018  263182  266257  0  279537  0
Apeldoorn  0  65000  64000  65000  0  0  67540  68612  69000  71000
Arad  0  0  0  0  0  0  0  0  0  0
Arezzo  0  0  0  0  0  38003  39062  39257  0  0
Arnhem  0  110000  112000  113000  0  0  113697  116593  125000  128000
Arras  38479  38649  38629  38577  38496  38433  38517  38572  0  0
Arrecife  0  0  32018  31997  33479  32864  33805  33242  33611  34674
Aschaffenburg  107500  106600  106124  107439  107598  107226  107178  105558  79000  0
Assen  0  0  33000  33000  0  0  35148  33705  36000  36000
Asti  0  0  0  0  0  28051  27766  27198  0  0
Athina  0  0  0  0  0  0  0  0  0  0
Augsburg  182000  183900  185215  189594  191765  192494  194178  192629  185000  0
Austria  2331600  2357957  0  0  0  0  0  0  0  0
Aveiro  0  0  0  0  0  0  0  0  35860  0
Avellino  0  0  0  0  0  33828  35721  34061  0  0
Avignon  77143  77862  78160  78481  78538  78263  78623  78690  0  0
Aviles  0  0  30141  30182  28222  29369  28532  27901  28268  27706
Bacau  0  0  0  0  0  0  0  0  0  0
Badajoz  47676  47572  48113  47782  47222  48238  47551  45992  46843  46983
Baia_Mare  0  0  0  0  0  0  0  0  0  0
Balikesir  0  0  0  0  0  0  0  0  0  0
Bamberg  62700  63000  62970  64040  64841  64667  64815  63966  66000  0
Banska_Bystrica  0  0  0  0  0  0  0  0  0  0
Barcelona  1316157  1299753  1294255  1284469  1299083  1284974  1304610  1299064  1305802  1314806
Bari  0  0  0  0  0  165527  166082  167089  0  0
Barletta  0  0  0  0  0  20080  19240  19303  0  0
Basel  0  0  0  157370  157110  158103  153581  153605  153848  0
Basel_crossborder  0  0  0  234585  233708  235150  239859  240251  0  0
Battipaglia  0  0  0  0  0  14759  14804  14690  0  0
Bayonne  60333  60892  61424  61807  62706  63734  64612  65721  0  0
Bayreuth  69800  69300  68686  69534  69668  69321  69106  68356  55000  0
Belfort  33728  33634  33496  33151  32881  32876  32775  32315  0  0
Belgium  0  0  2631848  2627288  2654667  2661271  2680155  2677314  2740237  0
Benidorm  0  0  41943  41730  41880  40785  41897  41671  41524  41943
Bergamo  0  0  0  0  0  80069  78781  78833  0  0
Bergen  0  0  0  0  0  0  0  0  0  0
Bergen_op_Zoom  0  26000  33000  30000  0  0  35204  30222  33000  33000
Berlin  1355800  1362100  1375087  1410376  1425922  1445702  1445202  1423993  1400000  0
Bern  0  0  0  211285  213460  214994  206771  208918  209535  0
Besancon  67359  66880  66418  66001  66036  66073  66484  66771  0  0
Bialystok  0  0  0  0  0  0  0  0  0  0
Biel/Bienne  0  0  0  0  0  0  0  0  0  0
Bielefeld  82800  83600  84067  86297  86780  87099  88084  86642  147000  0
Bielsko-Biala  0  0  0  0  0  0  0  0  0  0
Bilbao  262117  261006  261895  260581  252676  255863  253457  247987  251543  255777
Bisceglie  0  0  0  0  0  13203  12760  12756  0  0
Blackburn_with_Darwen  0  0  74500  76400  69500  73200  0  0  0  0
Blackpool  0  0  79000  82300  78400  78400  0  0  0  0
Blagoevgrad  0  0  20428  19919  21311  20782  21119  20474  20496  0
Bocholt_Stadt  0  0  0  0  0  0  106711  104933  31000  0
Bologna  0  0  0  0  0  207714  208451  207268  0  0
Bolzano  0  0  0  0  0  54052  53726  53509  0  0
Bonn  225500  226800  228874  234423  233870  235935  238157  234169  214000  0
Bordeaux  310424  315465  320425  323425  326757  331621  337265  342579  0  0
Boras  0  0  0  0  28170  28892  0  0  0  0
Botosani  0  0  0  0  0  0  0  0  0  0
Boulogne-sur-mer  38417  38435  38302  38097  37689  37751  37644  37420  0  0
Bourges  43039  42273  41753  41343  40934  40909  40891  40930  0  0
Bournemouth  0  0  138700  139600  142500  144500  0  0  0  0
Braga  0  0  0  0  0  0  0  0  63583  0
Braila  0  0  0  0  0  0  0  0  0  0
Brandenburg_an_der_Havel  19700  19200  19014  19180  18783  18744  18698  18097  27000  0
Brasov  0  0  0  0  0  0  0  0  0  0
Bratislava  175600  176900  175500  178900  178600  184300  187600  184800  0  0
Braunschweig-Salzgitter  0  0  0  0  0  0  276720  268971  164000  0
Breda  0  89000  108000  103000  0  0  107648  105110  112000  112000
Bremen  323500  326800  327135  342278  339520  339094  346650  334873  286000  0
Bremerhaven  79300  79600  78993  81994  81026  81094  82416  79171  56000  0
Brescia  0  0  0  0  0  125737  123362  126690  0  0
Brest  88406  88468  88432  87994  88035  87789  88246  88688  0  0
Brighton_and_Hove  0  0  123100  128100  130400  129300  0  0  0  0
Brindisi  0  0  0  0  0  34953  34074  31968  0  0
Bristol  0  0  264400  263600  272300  270300  0  0  0  0
Brno  0  0  0  0  0  0  0  0  0  0
Brugge  0  0  53522  53468  54070  54262  54780  0  57884  0
Brusseles  0  0  587718  590157  615394  611060  621782  0  791456  0
Bucuresti  0  0  0  0  0  0  0  0  0  0
Budapest  0  0  0  800195  0  0  0  0  0  839435
Bulgaria  0  0  1592730  1572933  1622506  1597395  0  0  0  0
Burgas  0  0  62287  62046  63363  62305  62473  61456  60404  0
Burgos  53768  53347  52659  52586  50684  52336  50462  49839  50088  49778
Burnley  0  0  45000  47300  45500  45900  0  0  0  0
Bursa  0  0  0  0  0  0  0  0  0  0
Buzau  0  0  0  0  0  0  0  0  0  0
Bydgoszcz  0  0  0  0  0  0  0  0  0  0
Barlad  0  0  0  0  0  0  0  0  0  0
Bekescsaba  0  0  0  28216  0  0  0  0  0  27831
Beziers  39664  39833  39895  39966  40105  40329  40737  40928  0  0
Caen  109654  109846  109659  109424  109491  109324  109983  111025  0  0
Cagliari  0  0  0  0  0  116993  116747  114122  0  0
Calais  36001  35715  35500  35353  34963  34798  34704  34706  0  0
Calarasi  0  0  0  0  0  0  0  0  0  0
Cambridge  0  0  110300  113600  102700  104700  0  0  0  0
Campobasso  0  0  0  0  0  23428  23222  22153  0  0
Cannes-Antibes  93108  92509  91534  91230  90812  90289  90954  91447  0  0
Cardiff  0  0  229200  227600  236500  247000  0  0  0  0
Carpi  0  0  0  0  0  23931  23083  22990  0  0
Cartagena  65102  64710  63789  63125  61198  61829  61874  61599  62343  61865
Caserta  0  0  0  0  0  25342  24588  24049  0  0
Castellon_de_la_Plana  65733  64242  62694  61498  61382  61296  60865  60171  61192  60861
Catania  0  0  0  0  0  136699  133179  135143  0  0
Catanzaro  0  0  0  0  0  34749  34664  33320  0  0
Cayenne  27319  28359  29525  30692  30808  31032  31989  32488  0  0
Celle  44500  44500  44509  45109  45061  44527  44998  43885  47000  0
Cerignola  0  0  0  0  0  12178  12008  12844  0  0
Ceske_Budejovice  0  0  0  0  0  0  0  0  0  0
Ceuta  0  0  0  0  0  0  0  22208  22282  22378
Chambery  60745  61435  61461  61476  61115  61635  62214  63280  0  0
Charleroi  0  0  97293  101291  103804  102163  102278  0  110015  0
Chartres  42236  42279  42330  41831  41804  41669  41791  41892  0  0
Chelm  0  0  0  0  0  0  0  0  0  0
Cheltenham  0  0  53900  56000  56000  59800  0  0  0  0
Chemnitz  63800  63600  63517  63707  62833  62494  63580  61241  120000  0
Cherbourg-en-Cotentin  38386  38113  37994  37855  37705  37647  37429  37601  0  0
Cheshire_West_and_Chester  0  0  127100  127600  132100  134200  0  0  0  0
Chiclana_de_la_Frontera  0  0  0  0  0  0  0  22736  23207  23423
Chomutov  0  0  0  0  0  0  0  0  0  0
Ciudad_Real  0  0  27562  27967  27355  27767  27238  27232  27613  27718
Clermont-Ferrand  119365  119419  119417  119691  119651  120226  121131  121272  0  0
Cluj-Napoca  0  0  0  0  0  0  0  0  0  0
Coimbra  0  0  0  0  0  0  0  0  63956  0
Colchester  0  0  81500  82000  86500  87400  0  0  0  0
Colmar  50449  50335  50848  50906  50740  50696  50817  50777  0  0
Como  0  0  0  0  0  43973  42869  40791  0  0
Constanta  0  0  0  0  0  0  0  0  0  0
Cork  0  0  0  0  0  0  0  0  0  0
Cosenza  0  0  0  0  0  42963  41977  41404  0  0
Cottbus  59700  58000  57164  58004  56309  55442  54528  52548  46000  0
Coventry  0  0  190600  199000  201100  205700  0  0  0  0
Craiova  0  0  0  0  0  0  0  0  0  0
Cremona  0  0  0  0  0  32997  32530  31816  0  0
Cuenca  0  0  16344  16586  16043  16252  16132  15777  15813  15785
Cyprus  0  0  0  0  0  0  0  0  0  0
Czech_Republic  0  0  0  0  0  0  0  0  0  0
Czestochowa  0  0  0  0  0  0  0  0  0  0
Caceres  0  0  31411  31338  30351  31332  30880  30320  30411  30373
Cadiz  68083  68894  67984  67330  64088  64457  63858  63710  63636  62609
Cordoba  94467  93752  92978  93384  92046  92721  91971  91237  90792  88509
Darmstadt  120300  120400  122035  125900  126879  127416  129329  126314  127000  0
Daugavpils  0  0  27100  26600  24800  26000  25100  26500  22800  23400
Debrecen  0  0  0  84773  0  0  0  0  0  85639
Denizli  0  0  0  0  0  0  0  0  0  0
Denmark  0  0  0  0  0  0  0  0  0  0
Derby  0  0  130200  132000  127500  133600  0  0  0  0
Dessau-Roblau  21600  21000  20671  20701  20127  19586  19279  18969  31000  0
Deventer  0  35000  33000  31000  0  0  32332  34995  35000  36000
Dijon  100273  100147  99873  99317  98782  98865  99278  100288  0  0
Diyarbakir  0  0  0  0  0  0  0  0  0  0
Dobrich  0  0  24454  23720  23986  23646  23974  23128  21151  0
Douai  47367  47022  46545  46161  46021  45499  45385  45409  0  0
Dresden  355000  356700  353181  359685  355301  352195  352450  348310  263000  0
Drobeta_Turnu_Severin  0  0  0  0  0  0  0  0  0  0
Dublin  0  0  0  0  0  0  0  0  0  0
Dunaujvaros  0  0  0  24697  0  0  0  0  0  23965
Dundee_City  0  0  0  64600  63600  64900  0  0  0  0
Dunkerque  63722  63315  62868  62503  61849  61176  60880  60843  0  0
Duren_Stadt  0  0  0  0  0  0  71169  69857  60000  0
Dusseldorf  393400  395500  394750  404128  403717  403281  406753  398737  397000  0
Ede  0  0  43000  42000  0  0  43475  44511  46000  48000
Edinburgh  0  0  0  230100  238700  252700  0  0  0  0
Edirne  0  0  0  0  0  0  0  0  0  0
Eger  0  0  0  25510  0  0  0  0  0  25183
Eindhoven  0  203000  219000  220000  0  0  227229  227767  237000  242000
Eivissa  0  0  46511  46945  48721  47403  48475  48376  49341  51059
Elblag  0  0  0  0  0  0  0  0  0  0
Elche  71454  70680  70954  71800  72464  71714  72468  71648  72259  73793
Elda  0  0  0  0  0  0  0  22571  22574  22646
Elk  0  0  0  0  0  0  0  0  0  0
Enschede  0  114000  113000  110000  0  0  111388  113651  119000  122000
Erfurt  142000  139500  136636  140937  140300  138406  137780  135520  101000  0
Erlangen  0  0  0  0  0  0  0  0  90000  0
Erzurum  0  0  0  0  0  0  0  0  0  0
Estonia  0  0  349800  355800  360100  362000  0  0  0  0
Exeter  0  0  133700  117400  127800  129200  0  0  0  0
Faro  0  0  0  0  0  0  0  0  29340  0
Ferrara  0  0  0  0  0  52621  54305  53212  0  0
Ferrol  0  0  37491  36753  35325  36338  35730  34727  34776  34783
Finland  0  0  1332866  1334656  1332748  1336581  0  0  0  0
Firenze  0  0  0  0  0  201240  202760  198045  0  0
Flensburg  69000  68300  69255  69324  70026  70878  72053  71799  57000  0
Focsani  0  0  0  0  0  0  0  0  0  0
Foggia  0  0  0  0  0  40367  39114  39252  0  0
Forlì  0  0  0  0  0  44376  43667  43458  0  0
Fort_de_France  78961  78771  78257  77195  75996  74804  73993  72987  0  0
France  15968111  16002105  16008208  15977535  15996141  15978323  16046033  16109235  0  0
Frankfurt_(Oder)  16000  15300  14874  15073  14673  14644  14451  13960  23000  0
Frankfurt_am_Main  688800  689800  702755  725642  729543  732867  747311  735890  745000  0
Freiburg_im_Breisgau  164000  166100  168665  173723  175571  176745  178399  175881  169000  0
Friedrichshafen  58200  58900  59655  60928  61290  61405  62131  60989  46000  0
Frejus  25535  25681  25612  25768  25669  26133  26377  26465  0  0
Fulda  60000  60100  60661  62478  62571  62543  63596  62120  67000  0
Funchal  0  0  0  0  0  0  0  0  49369  0
Galati  0  0  0  0  0  0  0  0  0  0
Galway  0  0  0  0  0  0  0  0  0  0
