Anys  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022    
's-Gravenhage  0  446000  554000  558000  0  0  585571  590720  609000  627000    
's-Hertogenbosch  0  145000  148000  142000  0  0  154282  156360  165000  166000    
A_Coruña  202797  199197  0  199995  200776  204336  203056  199466  200676  202400    
Aachen  260600  262500  263408  270440  270409  271235  273261  269513  290000  0    
Aalborg  0  0  0  0  0  0  0  0  0  0    
Aberdeen  0  0  0  269600  268100  271100  0  0  0  0    
Acireale  0  0  0  0  0  20534  19795  20268  0  0    
Adana  0  0  0  0  0  0  0  0  0  0    
Alba_Iulia  0  0  0  0  0  0  0  0  0  0    
Albacete  96356  96227  95781  96122  95779  97579  95024  93904  94594  95982    
Alcoy  0  0  34083  34781  34122  33969  34215  33046  33659  34300    
Alessandria  0  0  0  0  0  60344  60024  56769  0  0    
Algeciras  66065  68302  68301  68419  67974  67904  68064  67817  70300  69522    
Alicante/Alacant  225567  226267  227607  233979  234070  230801  234545  227781  232986  239881    
Alkmaar  0  107000  151000  153000  0  0  155107  157132  162000  166000    
Almelo  0  75000  78000  78000  0  0  82352  78830  83000  85000    
Almería  111944  111931  109782  109854  110969  109847  109858  109180  112315  111447    
Alphen_aan_den_Rijn  0  0  58000  61000  0  0  58082  60746  63000  66000    
Altamura  0  0  0  0  0  28554  28773  28277  0  0    
Amersfoort  0  100000  98000  98000  0  0  103043  105151  108000  111000    
Amiens  163532  162802  162471  162646  162300  161992  162402  163368  0  0    
Amsterdam  0  1399000  1506000  1528000  0  0  1590969  1602796  1637000  1692000    
Ancona  0  0  0  0  0  98740  98849  96221  0  0    
Andria  0  0  0  0  0  33515  33551  33383  0  0    
Angers  196823  198643  199242  199471  200041  201590  203193  205530  0  0    
Ankara  0  0  0  0  0  0  0  0  0  0    
Annecy  138843  141585  143213  144404  145481  146798  149139  151397  0  0    
Annemasse-Geneva_(French_part)  209935  214546  219388  222735  225805  229358  232428  235575  0  0    
Antalya  0  0  0  0  0  0  0  0  0  0    
Antwerpen  0  0  475949  479661  486740  487960  494762  0  517659  0    
Apeldoorn  0  118000  117000  118000  0  0  124966  129484  130000  133000    
Arad  0  0  0  0  0  0  0  0  0  0    
Arezzo  0  0  0  0  0  68668  71108  71459  0  0    
Arnhem  0  209000  210000  213000  0  0  217508  219112  236000  243000    
Arras  74033  74362  74373  74469  74488  74510  74692  74938  0  0    
Arrecife  0  0  57847  58907  62527  61201  63187  61975  63526  64927    
Aschaffenburg  197300  196500  195700  198567  198385  197949  198757  195404  149000  0    
Assen  0  0  63000  63000  0  0  66022  64897  68000  71000    
Asti  0  0  0  0  0  50434  50085  49079  0  0    
Athina  0  0  0  0  0  0  0  0  0  0    
Augsburg  338700  342800  344201  352362  355229  356393  361306  357629  339000  0    
