Country_Name  Country_Code  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Afganistán  AFG  7881567  8285362  8630724  8913938  9254593  9613728  9991682  9105733  0  0
Angola  AGO  10968484  11377486  11795033  12232879  12689061  13153405  13629799  13979133  14470377  15042938
Albania  ALB  1227940  1256110  1308343  1354998  1377319  1409389  1433004  1347461  1384740  1382675
El_mundo_árabe  ARB  123500778  125466581  128041423  130911676  131828490  133896234  136747062  136323583  138917671  143174076
Emiratos_Árabes_Unidos  ARE  5973682  6066398  6155854  6244154  6328526  6404956  6479503  6491560  6462165  6579221
Argentina  ARG  18964106  19049721  19229476  19404277  19580710  20103008  20607477  19406591  21191985  21424676
Armenia  ARM  1441157  1433898  1426241  1418505  1406989  1395196  1411206  1385587  1386828  1386376
Australia  AUS  12176891  12316359  12554514  12728416  13005826  13306561  13587463  13587001  13806208  14126278
Austria  AUT  4423190  4444847  4497039  4579306  4608584  4642407  4662739  4638300  4689420  4773829
Azerbaiyán  AZE  4428280  4531372  4626699  4756797  4841518  4925538  4964822  5165410  5140941  5143391
Burundi  BDI  4347855  4460707  4525904  4553883  4644148  4803010  4990348  5110212  5332664  5573272
Bélgica  BEL  4962050  4978926  4989597  4997187  5086330  5144068  5194405  5167188  5259744  5358112
Benin  BEN  4056023  4105299  4152214  4195476  4235801  4273806  4403417  4496470  4647780  4811208
Burkina_Faso  BFA  6376479  6481181  6683144  6896061  7116801  7340573  7569473  7743849  8074705  8364639
Bangladesh  BGD  59781774  60904130  62009866  63166277  67164738  68748318  70248864  70940010  72549161  74459362
Bulgaria  BGR  3363140  3357878  3333481  3265483  3364252  3338430  3391873  3311854  3268751  3130364
Bahrein  BHR  722754  742612  768564  802049  837284  860932  864850  831368  827146  842278
Bahamas  BHS  214987  218478  221810  225296  228902  232374  235408  226709  233151  239764
Bosnia_y_Herzegovina  BIH  1386578  1400680  1385813  1365760  1351075  1330417  1344543  1321242  1387825  1366232
Belarús  BLR  5043888  5042125  5042141  5038419  5025143  4998649  4971033  4931564  4892246  4843688
Belice  BLZ  145052  151931  157867  163868  167852  172955  177832  177407  184589  190015
Bolivia  BOL  4929362  5186538  4978794  5103906  5306478  5663066  5684739  5705374  5664325  5863110
Brasil  BRA  98532617  99628945  101299233  102278733  104079618  105437485  107415119  100641930  105434083  108380011
Barbados  BRB  148815  143390  144417  148685  147106  146039  143823  140212  141327  142648
Brunei_Darussalam  BRN  201720  203072  204352  205465  206363  218003  217445  218013  221395  224612
Bhután  BTN  342591  334024  342466  348313  354541  361072  367463  359185  366787  376933
Botswana  BWA  882334  908862  936988  967141  999039  1031385  1063621  1066751  1116485  1151624
República_Centroafricana  CAF  1784916  1758255  1749975  1780976  1814399  1849471  1893599  1932138  1985303  2042438
Canadá  CAN  19522293  19586757  19690129  19877599  20144985  20344108  20758436  20471068  20960467  21344993
Europa_Central_y_del_Báltico  CEB  49257844  49556407  49475145  49318975  49689091  49617865  49577634  49254854  48870892  48843155
Suiza  CHE  4647770  4732391  4804656  4886342  4920490  4956328  4971006  4979813  4981500  5027940
Islas_del_Canal  CHI  80236  80804  81596  82427  83079  83802  84527  84092  85558  86871
Chile  CHL  8324494  8468946  8566113  8661001  8872208  9059235  9214285  8698434  9081005  9446464
China  CHN  779042510  780062420  780709584  780524312  778674707  776278514  775321104  751446327  780370660  781831676
Côte_d'Ivoire  CIV  8151021  8360975  8617882  8883562  9157647  9441715  9735200  9943686  10355728  10787278
Camerún  CMR  8923111  9090658  9410154  9711721  9996942  10286704  10596388  10818499  11162667  11577796
Congo,_República_Democrática_del  COD  26115207  27011671  27914047  28894272  29889916  30828284  31751451  32445875  33725417  35059361
Congo,_República_del  COG  1920680  1957890  1997819  2041567  2089890  2141363  2195682  2234418  2299859  2378882
Colombia  COL  23805205  24245416  24759081  25039982  25528733  26010171  26304740  24932942  25983568  25830076
Comoras  COM  183361  189967  195023  200182  205077  209548  213852  216650  222259  228983
Cabo_Verde  CPV  223037  227455  231746  235863  239923  228928  240383  230599  238605  245779
Costa_Rica  CRI  2337155  2395003  2380187  2223154  2335223  2459739  2573190  2456537  2529009  2538299
Estados_pequeos_del_Caribe  CSS  3152249  3211650  3297405  3316168  3360178  3405957  3424422  3338431  3427883  3518747
Cuba  CUB  5236610  5259288  5294366  5310520  5328848  5345408  5347554  4938351  5043018  5156812
